 50 5 120
 1 2 4 14
 2 98 70 5
 3 88 78 13
 4 20 49 15
 5 14 77 16
 6 19 47 1
 7 77 38 20
 8 54 53 18
 9 98 13 6
 10 41 47 19
 11 40 63 16
 12 44 98 3
 13 16 60 3
 14 44 43 9
 15 35 56 6
 16 18 47 9
 17 93 29 18
 18 24 7 19
 19 7 23 11
 20 86 12 10
 21 64 33 18
 22 15 8 10
 23 11 7 12
 24 17 18 5
 25 32 68 8
 26 72 97 6
 27 62 68 4
 28 83 62 13
 29 55 40 2
 30 30 86 4
 31 2 5 11
 32 76 69 6
 33 46 38 5
 34 23 26 4
 35 82 24 7
 36 91 36 14
 37 89 42 19
 38 84 72 9
 39 69 50 19
 40 75 73 16
 41 79 86 3
 42 99 51 15
 43 68 79 2
 44 52 37 17
 45 79 56 9
 46 41 10 20
 47 60 77 17
 48 12 61 7
 49 97 37 14
 50 70 75 14

