10 6
0 1 179.31252
0 2 141.57878
0 3 149.88608
0 4 173.11890
0 5 153.25505
0 6 145.91046
0 7 186.22504
0 8 169.42107
0 9 198.32820
1 2 185.91971
1 3 151.71591
1 4 115.57811
1 5 138.44269
1 6 182.92041
1 7 133.20930
1 8 145.82713
1 9 166.73380
2 3 150.08141
2 4 152.85002
2 5 182.33693
2 6 148.63234
2 7 202.43771
2 8 166.78142
2 9 149.50703
3 4 132.58665
3 5 146.79178
3 6 124.59600
3 7 122.65338
3 8 127.62217
3 9 184.25259
4 5 141.73579
4 6 147.90662
4 7 122.83325
4 8 146.32759
4 9 118.02769
5 6 149.97600
5 7 157.29301
5 8 153.67561
5 9 171.62000
6 7 137.58699
6 8 126.59215
6 9 160.81337
7 8 138.86511
7 9 150.27466
8 9 165.25851
