500 50
0 1 14.69660
0 2 14.77295
0 3 12.70984
0 4 10.78425
0 5 11.76010
0 6 8.59767
0 7 14.38923
0 8 14.09752
0 9 14.79730
0 10 9.69536
0 11 17.26325
0 12 13.72443
0 13 15.71082
0 14 12.49040
0 15 7.98561
0 16 14.16263
0 17 12.31422
0 18 18.72725
0 19 16.72633
0 20 13.15447
0 21 10.32666
0 22 13.05488
0 23 14.37706
0 24 16.49454
0 25 17.10585
0 26 14.74008
0 27 9.90101
0 28 9.43822
0 29 15.18782
0 30 17.38476
0 31 16.40274
0 32 16.20525
0 33 12.48359
0 34 8.67871
0 35 15.55313
0 36 14.78750
0 37 16.70509
0 38 19.82120
0 39 14.92850
0 40 16.24900
0 41 16.82468
0 42 14.08510
0 43 13.85641
0 44 9.84073
0 45 13.25556
0 46 9.94736
0 47 17.38275
0 48 12.90930
0 49 14.33074
0 50 13.51925
0 51 15.54542
0 52 17.31993
0 53 10.15776
0 54 14.22779
0 55 14.43884
0 56 14.05169
0 57 17.82891
0 58 16.30061
0 59 18.09779
0 60 13.43912
0 61 14.72583
0 62 12.67517
0 63 10.92612
0 64 15.11390
0 65 14.26079
0 66 15.47385
0 67 15.69204
0 68 19.02419
0 69 15.21479
0 70 14.07729
0 71 16.84518
0 72 13.09351
0 73 10.93892
0 74 15.10629
0 75 16.02092
0 76 13.05144
0 77 16.55264
0 78 13.12250
0 79 12.80586
0 80 15.21085
0 81 11.81313
0 82 17.39368
0 83 12.52717
0 84 10.76336
0 85 15.33851
0 86 14.58321
0 87 13.37909
0 88 17.95522
0 89 11.81313
0 90 15.55538
0 91 15.17597
0 92 15.20691
0 93 15.65279
0 94 16.31625
0 95 13.87984
0 96 15.93800
0 97 14.71326
0 98 13.70876
0 99 15.00400
0 100 16.27882
0 101 6.64379
0 102 17.61931
0 103 15.76927
0 104 14.90637
0 105 15.54059
0 106 15.15487
0 107 15.30033
0 108 15.16179
0 109 16.25238
0 110 13.05220
0 111 15.98593
0 112 16.39421
0 113 11.97163
0 114 14.58869
0 115 12.96341
0 116 12.53555
0 117 15.32057
0 118 18.57202
0 119 10.74384
0 120 11.87139
0 121 12.33937
0 122 15.92388
0 123 17.19796
0 124 14.26254
0 125 15.17827
0 126 18.45779
0 127 14.28846
0 128 16.43472
0 129 11.23566
0 130 11.63529
0 131 11.65762
0 132 14.47722
0 133 14.68911
0 134 17.45738
0 135 17.70932
0 136 16.05023
0 137 15.15421
0 138 16.97675
0 139 17.17935
0 140 17.20814
0 141 13.19091
0 142 16.37437
0 143 17.50400
0 144 15.34405
0 145 12.26091
0 146 11.08873
0 147 18.62794
0 148 19.71167
0 149 17.02381
0 150 15.15652
0 151 18.21703
0 152 8.85946
0 153 14.45130
0 154 10.96175
0 155 8.55804
0 156 11.64517
0 157 13.98285
0 158 11.38113
0 159 13.89460
0 160 18.92617
0 161 15.83351
0 162 15.63873
0 163 13.03265
0 164 17.36606
0 165 15.17069
0 166 14.52171
0 167 12.14290
0 168 18.31475
0 169 13.47256
0 170 11.37585
0 171 13.22157
0 172 11.69273
0 173 14.02676
0 174 14.35618
0 175 13.52960
0 176 15.33591
0 177 17.32484
0 178 14.46548
0 179 11.10901
0 180 16.91981
0 181 15.01666
0 182 14.18520
0 183 11.86676
0 184 14.04991
0 185 13.10878
0 186 16.42589
0 187 16.56110
