10 4
0 1 109.46012
0 2 82.15592
0 3 118.39076
0 4 93.60280
0 5 128.07411
0 6 100.48611
0 7 86.06683
0 8 89.03320
0 9 92.59262
1 2 87.40605
1 3 43.62316
1 4 75.33435
1 5 80.81658
1 6 59.26894
1 7 54.92068
1 8 71.22728
1 9 62.78145
2 3 104.11495
2 4 38.07038
2 5 60.24285
2 6 63.51571
2 7 92.29974
2 8 114.00882
2 9 56.18304
3 4 82.49026
3 5 101.38741
3 6 73.17694
3 7 73.53641
3 8 91.23692
3 9 89.97229
4 5 47.29259
4 6 60.47482
4 7 80.21034
4 8 106.61311
4 9 55.38084
5 6 80.51785
5 7 97.98916
5 8 121.59928
5 9 65.34074
6 7 67.72640
6 8 94.81276
6 9 39.92814
7 8 31.89062
7 9 52.95121
8 9 78.57156
