 100 10 120
 1 9 8 8
 2 86 64 16
 3 90 48 9
 4 68 41 12
 5 20 31 15
 6 72 59 5
 7 12 36 3
 8 37 35 10
 9 23 90 12
 10 45 58 16
 11 12 25 3
 12 44 95 15
 13 34 43 20
 14 34 18 2
 15 36 32 5
 16 58 72 12
 17 69 88 5
 18 3 32 20
 19 44 32 6
 20 24 34 20
 21 87 27 19
 22 36 57 3
 23 65 43 3
 24 31 98 6
 25 7 15 4
 26 35 83 5
 27 21 96 2
 28 91 85 10
 29 93 6 10
 30 42 47 20
 31 19 9 7
 32 49 41 1
 33 1 98 20
 34 74 94 18
 35 12 45 19
 36 1 85 14
 37 6 62 15
 38 82 72 5
 39 32 70 16
 40 38 10 11
 41 85 75 13
 42 28 81 15
 43 86 2 14
 44 4 25 8
 45 84 36 13
 46 76 62 18
 47 26 57 8
 48 76 39 18
 49 35 86 14
 50 5 31 2
 51 83 80 11
 52 63 94 9
 53 60 16 12
 54 44 49 11
 55 75 85 11
 56 17 34 4
 57 32 69 11
 58 22 51 11
 59 79 73 17
 60 73 23 16
 61 10 37 11
 62 34 2 8
 63 77 52 13
 64 2 9 16
 65 39 52 18
 66 32 9 20
 67 61 52 3
 68 80 26 2
 69 23 69 12
 70 33 72 9
 71 21 27 8
 72 84 41 8
 73 63 46 8
 74 41 79 5
 75 89 59 10
 76 97 48 12
 77 68 14 14
 78 93 41 6
 79 58 48 10
 80 43 3 6
 81 28 42 11
 82 23 81 18
 83 69 100 18
 84 27 4 10
 85 63 98 15
 86 43 58 7
 87 66 11 5
 88 7 15 12
 89 38 1 9
 90 43 33 16
 91 21 37 17
 92 78 29 15
 93 45 67 10
 94 11 90 10
 95 23 68 15
 96 71 84 1
 97 54 51 9
 98 73 86 16
 99 46 86 5
 100 83 15 9

