15 6
0 1 138.91435
0 2 181.69759
0 3 165.09761
0 4 153.63373
0 5 138.44293
0 6 148.31198
0 7 168.99220
0 8 169.36681
0 9 170.80554
0 10 146.10805
0 11 191.64586
0 12 202.19180
0 13 152.02420
0 14 118.49300
1 2 160.25417
1 3 147.27110
1 4 196.12048
1 5 164.10149
1 6 154.69279
1 7 152.16499
1 8 130.92986
1 9 161.58763
1 10 178.13210
1 11 193.51204
1 12 158.62022
1 13 127.48243
1 14 155.14688
2 3 162.95988
2 4 187.16220
2 5 125.01768
2 6 176.59151
2 7 157.20560
2 8 165.02023
2 9 158.97328
2 10 196.93315
2 11 181.71779
2 12 149.84183
2 13 142.90666
2 14 166.22310
3 4 159.84691
3 5 157.17950
3 6 144.30196
3 7 161.42538
3 8 176.77263
3 9 119.39224
3 10 196.84413
3 11 134.90608
3 12 174.64232
3 13 114.96561
3 14 156.63319
4 5 146.74847
4 6 176.72775
4 7 158.90361
4 8 190.88846
4 9 155.99260
4 10 160.26944
4 11 195.12875
4 12 187.02670
4 13 176.96030
4 14 179.43427
5 6 177.78751
5 7 141.00844
5 8 166.75826
5 9 133.15057
5 10 151.17435
5 11 176.65613
5 12 199.95993
5 13 146.66611
5 14 103.54632
6 7 163.30331
6 8 178.34444
6 9 161.10826
6 10 193.72101
6 11 177.22296
6 12 161.81033
6 13 166.04663
6 14 151.29115
7 8 162.18327
7 9 172.20520
7 10 173.28296
7 11 181.39137
7 12 186.90012
7 13 147.26303
7 14 144.57187
8 9 170.21384
8 10 201.46649
8 11 218.76135
8 12 127.92072
8 13 166.16827
8 14 180.41479
9 10 174.08090
9 11 176.13100
9 12 177.29875
9 13 145.68835
9 14 148.94357
10 11 205.30220
10 12 202.43570
10 13 169.25957
10 14 132.12959
11 12 188.98398
11 13 146.01843
11 14 165.63580
12 13 152.84869
12 14 207.35286
13 14 137.38887
