500 50
0 1 15.26696
0 2 15.11754
0 3 18.15682
0 4 15.67195
0 5 15.22728
0 6 17.72935
0 7 12.72989
0 8 16.06425
0 9 16.04899
0 10 17.24906
0 11 15.08012
0 12 11.20313
0 13 8.78408
0 14 16.28588
0 15 19.13034
0 16 14.33876
0 17 11.45076
0 18 13.77316
0 19 15.23909
0 20 17.42785
0 21 16.21851
0 22 17.40115
0 23 15.08973
0 24 14.79189
0 25 15.36099
0 26 13.13659
0 27 21.56108
0 28 14.33771
0 29 17.50428
0 30 14.81621
0 31 14.56125
0 32 11.63658
0 33 13.97319
0 34 12.43262
0 35 17.78932
0 36 9.40160
0 37 10.17350
0 38 11.67219
0 39 17.70876
0 40 19.75702
0 41 11.17184
0 42 12.61784
0 43 14.42255
0 44 13.63341
0 45 16.18611
0 46 6.76535
0 47 8.04363
0 48 14.99000
0 49 14.46167
0 50 16.26376
0 51 13.52405
0 52 13.05259
0 53 13.65064
0 54 16.36887
0 55 14.76313
0 56 16.86713
0 57 15.60545
0 58 12.16840
0 59 11.69059
0 60 18.40842
0 61 18.05630
0 62 16.84785
0 63 15.62338
0 64 18.90212
0 65 13.97712
0 66 15.44474
0 67 15.10728
0 68 17.39023
0 69 12.91859
0 70 15.44927
0 71 15.96684
0 72 17.34013
0 73 17.59801
0 74 13.80254
0 75 13.98106
0 76 12.34747
0 77 18.21016
0 78 19.02025
0 79 17.48314
0 80 16.23114
0 81 15.62082
0 82 17.25572
0 83 6.56277
0 84 14.51895
0 85 15.40130
0 86 14.52481
0 87 16.26161
0 88 11.87981
0 89 12.36123
0 90 12.48399
0 91 16.07607
0 92 17.50543
0 93 16.09534
0 94 12.77341
0 95 10.48332
0 96 12.70275
0 97 20.01449
0 98 15.35936
0 99 11.41096
0 100 19.04705
0 101 14.86910
0 102 12.36689
0 103 16.90651
0 104 13.22460
0 105 15.20131
0 106 14.83307
0 107 14.41284
0 108 15.16113
0 109 17.48085
0 110 12.88099
0 111 12.22007
0 112 16.02560
0 113 15.05656
0 114 18.33876
0 115 14.53238
